LapNumber,LapTime,TyreAge,TrackTemperature,Speed,FuelLoad,EnginePower,DownforceLevel,BrakingEfficiency,TyreCompound,WeatherCondition,PitStopTime,DriverSkill,CarAerodynamics,TrackGripLevel
1,88.10890415965768,18,41.78568451586315,321.88640728838106,91.67239241546541,774.1263654409635,1.9574279118863127,0.7119407258561751,Hard,Cloudy,5.113773098754807,8.583403154397251,1.3729575044937619,0.8785329735593704
2,108.27500072434707,7,45.25476093095787,337.60328715212654,18.68140934107927,891.9012026679862,1.993620228487205,0.8549741526606942,Medium,Sunny,3.6533945619861923,7.624942902614039,1.064471316852937,0.8005849322823753
3,100.61978796339918,6,28.970380388280383,293.50909266995245,87.11703292380703,722.8148110574583,2.1519666589660456,0.7873720430879765,Hard,Rainy,3.275352299333332,8.122490300045886,1.7304984845653175,0.8313146511142768
4,95.95304694689628,15,29.497941812317073,303.5380955382061,26.002291429907313,871.7589620871352,2.432710046737256,0.874554965480245,Soft,Sunny,2.3588787298752836,9.332083660386552,1.7865542337460179,0.6840621685135437
5,80.46065241548527,18,40.136646690389526,343.1782993276253,87.56063618839336,945.7858708852309,2.8469687399575183,0.9172886058800784,Medium,Sunny,2.186004255701467,7.6588211295537665,1.5449896699523378,0.9706196242345739
6,80.4598082117671,5,20.943378651768427,260.7498637109429,58.42197668221077,929.9571329813292,1.797460679544614,0.7207223012562917,Hard,Cloudy,3.756537710089508,9.418777783356134,2.048725485206813,0.6442284203357127
7,77.03292642588698,19,41.79490239012268,336.2299216974124,89.03860068041591,745.3515094846977,1.6266050965266938,0.9647102427406584,Hard,Cloudy,3.3874479180087387,9.022059963448932,2.351554245025445,0.8761076919702193
8,105.31616510212274,26,45.07349212563804,265.9307482251936,23.653328018636838,974.4195204336415,2.108628185931349,0.7830661003710868,Medium,Sunny,4.221296678051436,7.659177591213703,4.017753598824758,0.9543584442338071
9,96.0390254110123,20,32.45490759812312,298.386135029062,78.58328961770434,931.0271144214322,1.8681832239158649,0.8144042446540583,Soft,Rainy,4.847713748460272,8.57921380313825,3.838088554544665,0.6336082605702157
10,99.7825402228616,10,42.94636490265406,271.842312866306,71.2628736472519,701.5907532798539,2.364049010158655,0.8011110255892151,Medium,Sunny,2.160027254295212,8.842212287518802,1.4175172867759809,0.6115008094760812
11,75.72045730035309,4,25.238327509467858,310.2947630690604,58.864004865366624,921.2120900618759,2.548822255721132,0.9519504574267597,Medium,Rainy,3.9848684388112616,7.60082811344093,4.908427894135102,0.7332614980629816
12,108.9468448256698,15,29.66781181458454,305.8573421708266,82.95286099698757,921.2265035865996,1.966103930576145,0.7511956600486303,Hard,Sunny,5.4478875767279185,7.434848007437551,4.008557016681136,0.9159791733069401
13,104.13549242801476,6,49.229148893314324,288.00073642407517,68.34484219843358,849.0448241619954,2.5281769332929827,0.7086019654934942,Hard,Sunny,3.8206663445613134,8.593503803278793,1.6537330376800563,0.8869466070015357
14,82.43186887373966,26,49.58984520680379,336.33035148451245,88.93422321469747,713.7947248019117,2.01472088228671,0.9915404835157687,Medium,Cloudy,4.0849688438030975,9.081523498406984,1.4979862837198494,0.928862834179496
15,81.36387385224852,4,35.37815159064764,315.981332028806,44.29559321070094,873.9717814847048,2.452452209499393,0.9941897425663313,Medium,Sunny,3.947167362866704,8.395206520214645,1.3501875450420644,0.7589994180153333
16,81.41915784487018,10,48.02809374391631,322.12051249619435,63.09308604464335,929.7240280102927,2.4495912101211,0.7773078489640557,Hard,Rainy,3.5591716739336414,7.2101177455957615,3.927154666635769,0.9975036073329882
17,85.64847850358382,14,35.681920341705634,265.0659738207668,88.35407583181406,781.2622165963002,1.9172395551324657,0.7028057905312766,Medium,Sunny,2.4404780956934897,9.775638120090393,1.945146241889315,0.7464424420081226
18,93.36647510712832,2,28.74764384483472,338.3165677975618,29.333265769372115,900.1204654755362,2.453584127565305,0.8937751306580001,Soft,Sunny,2.5054248627301066,9.084896337563531,1.2918719807328838,0.9221532805447934
19,90.11807565247405,25,28.006978642963155,266.7040163620018,53.716722095516886,806.1778585133146,2.0714326435854837,0.8945389848294308,Medium,Rainy,2.7163569669507734,8.863588857360686,2.68731043771256,0.7403225688180577
