LapNumber,Speed,LapTime,TrackTemperature,TyreAge
58,218.3,87.5,21.337752315556337,11
58,217.586,87.7,32.749948599658964,17
58,216.719,88.1,25.56991390320539,7
58,215.464,88.6,28.032908088200728,9
58,218.385,87.4,34.500237566099884,17
57,212.974,89.6,30.652422973542045,18
55,213.224,89.5,29.09256087625271,9
53,217.18,87.9,23.38508133542595,6
47,215.1,88.8,27.23513359871429,17
43,213.166,89.6,34.97707222464162,14
32,210.038,90.9,25.554342140117488,15
30,208.907,91.4,34.934679321758686,9
29,216.51,88.2,32.6098767205264,14
25,213.3,89.5,24.21606229142975,11
19,213.758,89.3,35.768524151727185,3
8,207.461,92.0,39.89632115861436,5
58,215.141,88.7,24.882369214293394,1
56,209.158,95.4,22.64073914832871,4
56,208.033,95.9,35.4373760048436,14
56,208.031,95.9,30.27083307079964,14
56,207.715,96.1,35.623768552268345,2
56,209.033,95.5,24.529807919752027,14
56,209.244,95.4,37.73469191559544,7
56,206.366,96.7,29.022504030819626,12
56,207.24,96.3,34.7968642852512,11
56,207.417,96.2,20.8305004676177,8
56,208.481,95.7,39.54258097819636,7
56,205.812,97.0,33.95443206063192,18
55,205.8,97.0,33.08532658931729,13
55,206.372,96.7,35.44762892743439,3
55,206.182,96.8,26.562048527055115,12
55,203.265,98.2,35.92591222798895,19
54,202.578,98.5,33.79841088730863,4
54,204.222,97.7,22.243237417398703,14
39,205.995,96.9,37.45143163667345,10
30,208.048,95.9,31.5548763471266,7
5,198.891,100.3,27.66381076732703,3
57,208.153,93.6,35.773031671235465,6
57,207.911,93.7,21.24153867316785,15
57,207.765,93.8,22.44472702254505,2
57,208.231,93.6,22.85899693634971,17
57,209.062,93.2,33.29878598160788,19
57,206.819,94.2,27.7820201925639,3
57,206.597,94.3,34.69693479426215,2
57,207.109,94.1,33.829862834500986,10
57,205.503,94.8,26.74396453752818,6
57,204.668,95.2,35.804228171792296,13
57,205.399,94.9,32.82279084491727,10
56,204.963,95.1,35.80446157468961,6
56,203.969,95.5,34.86233004921364,9
56,204.155,95.4,38.87369341243399,16
56,204.369,95.3,24.61276007027464,1
56,204.389,95.3,24.03734410745884,6
56,203.18,95.9,37.975707579349766,15
56,204.331,95.4,37.24213087746534,13
56,204.136,95.4,36.44043166267829,13
40,204.808,95.1,29.01973247451344,17
19,202.686,96.1,29.305480567687106,10
66,205.191,81.7,23.46027136006015,1
66,204.863,81.8,37.70059366695664,16
66,204.323,82.0,34.2617365185077,10
66,204.102,82.1,28.48576158566461,8
66,202.969,82.6,33.0692019672078,11
66,203.489,82.4,32.25287445663226,1
66,200.576,83.5,30.718783590690784,18
66,202.494,82.8,33.9525098088953,12
66,203.08,82.5,37.38650387093416,14
65,200.841,83.4,24.36870188572582,14
65,201.886,83.0,30.856056229661192,15
65,202.288,82.8,31.31331414599919,2
65,198.045,84.6,30.523940778591303,11
41,201.13,83.3,36.83863928469967,14
34,202.677,82.7,22.57079417603221,10
34,199.837,83.9,28.20332681121921,15
21,203.243,82.5,21.963934559180885,19
8,192.922,86.9,20.44345068001907,6
7,194.862,86.0,39.03668710792736,3
6,196.128,85.4,21.41809381431614,3
58,221.734,86.7,24.42340926118828,18
58,222.085,86.5,37.56047150824368,9
58,222.144,86.5,25.14272462530212,12
58,221.442,86.8,30.98150609353396,13
58,220.328,87.2,34.30301376727361,4
58,220.174,87.3,30.4098575849118,16
58,219.294,87.6,34.15295499787222,15
58,218.882,87.8,30.02231843396914,3
58,218.457,88.0,38.92297215619985,16
58,218.556,87.9,29.93703530808949,1
57,218.377,88.0,30.0049453825457,13
57,219.269,87.6,34.30716373047816,16
57,217.623,88.3,29.264512017839685,16
57,218.33,88.0,30.30562713374825,7
57,218.703,87.9,26.853553238188944,9
57,216.454,88.8,26.27895808581669,1
57,217.926,88.2,30.935851326482243,15
24,216.539,88.7,31.075611592223872,16
76,153.152,78.5,25.4904203309257,2
76,154.286,77.9,29.606754950727943,14
76,154.379,77.9,22.415189686519128,17
76,152.133,79.0,25.792497571242013,19
76,152.614,78.8,33.49442939423109,11
76,151.104,79.6,25.97566634243045,8
76,150.469,79.9,24.74981702149094,15
76,155.586,77.3,38.451291332162,4
76,156.789,76.7,26.7475453540734,11
75,154.413,77.9,22.67561550588493,4
75,151.089,79.6,30.083712479018587,14
75,151.021,79.6,36.75297159453355,3
75,150.62,79.8,26.351642352068747,10
72,149.829,80.3,37.93720731008224,4
67,146.564,82.0,37.47355499891724,10
59,147.951,81.3,37.34495435176086,4
47,131.86,91.2,21.70426175947843,6
36,129.5,92.8,30.148077511275456,14
7,117.753,102.1,31.756006028272527,6
7,118.872,101.2,39.66792031529671,1
70,202.473,77.5,29.604580995691684,9
70,202.758,77.4,34.67052859456602,17
70,201.057,78.1,20.66219861486949,14
70,198.51,79.1,28.01753404728331,9
70,201.261,78.0,30.99069236324869,2
70,199.056,78.9,24.93010981346049,11
70,200.503,78.3,25.56483234379577,1
70,199.913,78.5,21.1818521042322,9
70,200.091,78.5,37.24509313282262,18
70,201.336,78.0,36.04749133563857,18
70,197.847,79.4,27.47011792436477,6
70,200.759,78.2,28.05696802222428,3
69,199.689,78.6,34.00137852537098,13
51,198.563,79.1,24.23177393057056,1
46,199.273,78.8,27.803792900068807,18
44,200.697,78.2,34.681065590738044,5
43,198.129,79.2,37.696336194100645,11
19,202.871,77.4,32.13718770422441,8
19,202.559,77.5,29.31906349764469,8
13,194.624,80.7,27.650499489679262,2
70,206.956,76.7,32.403409730150706,17
70,207.224,76.6,35.87401049275648,18
70,204.721,77.6,25.40583455460973,4
70,205.87,77.1,33.12390435434444,18
70,205.768,77.2,21.48916774639477,8
70,204.879,77.5,21.21084104413381,17
